SYL,Sylze,0,16,33,102,16,242,102,16,242,0,16,33,Saviours,10
KLA,Klaz,76,8,39,245,230,99,245,230,99,76,8,39,Raiders,10
FAL,Flouville,52,89,149,254,101,79,254,101,79,52,89,149,Falcons,10
SHA,Pofen,28,119,195,255,255,255,255,255,255,28,119,195,Sharks,10
SUR,Surval,255,89,150,255,231,76,255,231,76,255,89,150,Energy,10
MOD,Modeti,107,241,120,53,167,255,53,167,255,107,241,120,Titans,10
KNI,Nafiv,11,10,7,187,206,168,187,206,168,11,10,7,Knights,10
ALG,Algatia,197,40,61,255,200,87,141,152,167,197,40,61,Phoenixes,10
STE,Stezic,33,255,238,49,94,197,255,203,33,49,94,197,Stingers,2
PHA,Pazyn,23,37,90,236,125,16,236,125,16,23,37,90,Phantoms,2
DRA,Duczet,51,30,56,241,81,82,82,178,207,51,30,56,Dragons,2
BOZ,Bozega,152,223,234,216,30,95,216,30,95,152,223,234,Eagles,2
ARM,Ammidowe,43,65,98,186,18,0,186,18,0,43,65,98,Armour,14
DOG,Dogrunt,59,53,97,84,134,135,84,134,135,59,53,97,Dogs,2
BOT,Boton,18,69,89,83,152,190,83,152,190,18,69,89,Lumpers,14
COB,Cocar,50,150,93,255,193,94,255,193,94,50,150,93,Cobras,14
SUT,Sutreka,59,66,159,255,224,102,255,224,102,59,66,159,Barracudas,2
FOR,Forwall,156,56,72,255,249,79,255,249,79,156,56,72,Fire,14
DAF,Daffo,3,83,164,166,130,255,241,121,80,3,83,164,Defenders,14
DIS,Disbole,150,52,132,78,205,196,78,205,196,150,52,132,Darts,14
CYC,Kwixt,18,78,120,96,225,224,92,149,255,18,78,120,Cyclones,10
PHE,Steinezy,224,64,90,229,219,32,255,255,255,224,64,90,Phesants,2
XAN,Xanderville,82,43,71,138,234,146,138,234,146,82,43,71,Lemurs,22
WXW,West Xander,9,12,8,193,73,83,193,73,83,9,12,8,Warriors,2
EXA,East Xander,254,184,46,255,255,255,255,255,255,254,184,46,Angels,2
ZEN,Zengat,164,36,59,249,160,63,249,160,63,164,36,59,Lions,14
AST,Astellia,15,8,75,186,222,252,186,222,252,66,122,161,Frost,26
EAS,Easton,90,35,40,200,184,219,207,49,63,200,184,219,Shepards,22
GRU,Gruille,195,47,39,255,164,0,255,164,0,15,10,10,Devils,14
WOL,Wedj,74,88,153,147,134,127,147,134,127,74,88,153,Wolves,22
SKA,Skalifa,96,223,232,255,255,255,230,139,140,255,255,255,Bears,2
JUC,Jucranz,217,145,37,26,112,187,104,196,197,26,112,187,Scorpions,2
CD,Cordar,235,228,10,226,154,10,235,228,10,226,154,10,,3
BF,Baffrem,35,200,122,25,143,255,35,200,122,25,143,255,,3
XA,Xander,236,208,49,16,179,1,236,208,49,16,179,1,,3
AL,Allies,93,223,232,26,112,187,93,223,232,26,112,187,,3
STR,Sterdyt,33,255,238,49,94,197,255,203,33,49,94,197,Stingers,5
STV,Stevyv,23,37,90,236,125,16,236,125,16,23,37,90,Phantoms,5
SYP,Sypox,51,30,56,241,81,82,82,178,207,51,30,56,Dragons,5
PLA,Plaiz,152,223,234,216,30,95,216,30,95,152,223,234,Eagles,5
ARG,Argana,47,36,58,53,114,102,196,149,243,53,114,102,Bulls,5
VES,Vestic,5,142,217,255,193,94,255,193,94,5,142,217,Vipers,5
WOO,Woodhill,141,90,151,67,185,41,255,255,255,67,185,41,Scouts,5
TRE,Treitan,0,12,24,3,83,164,255,210,63,0,12,24,Goats,5
DSC,Discille,49,71,170,78,205,196,78,205,196,49,71,170,Piranhas,5
CBE,Cinia Basin,10,36,114,166,99,204,166,99,204,10,36,114,Eels,5
NEK,Neklurg,42,183,154,198,53,83,198,53,83,42,183,154,Canons,5
ARK,Arken,85,65,169,171,218,252,171,218,252,85,65,169,Arbiters,5
NAM,Namic,251,186,114,60,21,24,60,21,24,251,186,114,Cheetahs,5
TAB,Tabal,59,53,97,84,134,135,84,134,135,59,53,97,Dogs,7
TLI,Tliss,59,66,159,255,224,102,255,224,102,59,66,159,Barracudas,7
NOS,Nostum,224,64,90,229,219,32,255,255,255,224,64,90,Phesants,7
SCD,South Coast,113,47,121,67,124,144,255,255,255,67,124,144,Dolphins,7
UDH,Upper Dreka,0,159,183,233,188,6,233,188,6,255,64,0,Hunters,7
INN,Innesad,194,61,87,55,70,76,55,70,76,194,61,87,Boulders,7
LDS,Lower Dreka,22,66,91,217,220,214,217,220,214,22,66,91,Swordfish,7
IAT,Iatus,70,32,70,26,196,160,26,196,160,34,85,96,Mares,7
MER,Mershe,20,39,42,163,59,32,27,154,170,163,59,32,Crabs,7
NTL,North Baffrem,86,66,86,247,246,181,247,246,181,86,66,86,Lightning,7
BEF,Beflanga,47,71,57,184,61,73,184,61,73,47,71,57,Guardians,7
STS,Stredzeme,226,192,68,83,28,179,83,28,179,226,192,68,Stars,7
WFW,West Forest,9,12,8,193,73,83,193,73,83,9,12,8,Warriors,11
NUN,Nunerividi,89,19,77,233,138,31,233,138,31,0,59,54,Sharpshooters,11
DEK,Dekta,68,166,94,255,212,0,163,121,201,255,212,0,Royals,11
